,time,text,support,against,post_id,year,month
0,2021年10月24日 10:40:04,"['http://1stream.top/soccer/MTkzNTUzMDMy?sport=soccer', '7']",0,4,2748946,2021,10
1,2021年10月24日 11:08:42,[],5,0,2748946,2021,10
2,2021年10月24日 11:20:54,"['其實佢又真仰踢落個波嘅', '紅又過火咗', '你弱智？', 'Foul 完一腳踢落去', '中波係好彩', '佢唔係想踢波']",4,0,2748946,2021,10
3,2021年10月24日 11:19:20,['由細到大對獌都無好感依啲就係曼聯精神大佬都係咁'],3,0,2748946,2021,10
4,2021年10月24日 11:19:12,"['換走沙拿先', '對面冇性架']",3,0,2748946,2021,10
5,2021年10月24日 11:18:09,['想像到球玉個locker 真係有鐵棍'],3,0,2748946,2021,10
6,2021年10月24日 11:19:55,"['普巴個樣幾撚有魔性 想殺人咁', '2']",0,1,2748946,2021,10
7,2021年10月24日 11:19:13,['咁都唔紅'],2,0,2748946,2021,10
8,2021年10月24日 11:18:41,['慈善球王心地超好'],2,0,2748946,2021,10
9,2021年10月24日 11:18:33,"['嘩', '球王真係球王', '黃都冇', '2']",0,1,2748946,2021,10
10,2021年10月24日 11:17:50,"['屌佢老母now個死獌狗，呢吓擺明抽水', '條友痴撚線']",2,0,2748946,2021,10
11,2021年10月24日 11:11:40,"['「好低B嘅犯錯」', '2']",0,1,2748946,2021,10
12,2021年10月24日 10:47:48,"['Jota 訓得一陣睇f1', '直落啦', 'F1睇完Turn 1就瞓得', '希望佩主席撞撚死咸狗', '2']",0,1,2748946,2021,10
13,2021年10月24日 11:21:18,['玩爛啦屌'],1,0,2748946,2021,10
14,2021年10月24日 11:21:16,['50萬都簽啦'],1,0,2748946,2021,10
15,2021年10月24日 11:21:09,['半場 贏0-4'],1,0,2748946,2021,10
16,2021年10月24日 11:20:57,['Sob塊面黑撚到'],1,0,2748946,2021,10
17,2021年10月24日 11:20:55,"['唔難理解嘅佢咁撚大火嘅', '屌你隊波廢撚到']",1,0,2748946,2021,10
18,2021年10月24日 11:20:51,['利子自己都唔信個比數'],1,0,2748946,2021,10
19,2021年10月24日 11:20:50,['求撚其射都入'],1,0,2748946,2021,10
20,2019年7月13日 20:44:21,"['槍響之前：金恩博士與三個邪惡的最後鬥爭', '人們當然知道馬丁路德金恩博士為黑人民權運動奮鬥，知道他著名的演說「我有一個夢」，或者知道他在整整五十年前的1968年被槍殺。', 'https://medium.com/@soundfury/%E6%A7%8D%E9%9F%BF%E4%B9%8B%E5%89%8D-%E9%87%91%E6%81%A9%E5%8D%9A%E5%A3%AB%E8%88%87%E4%B8%89%E5%80%8B%E9%82%AA%E6%83%A1%E7%9A%84%E6%9C%80%E5%BE%8C%E9%AC%A5%E7%88%AD-c3dd35a3dcf4', '泛民，要學馬丁路德金。', '我不反對不支持勇武，但理解。請在勇武前冷靜想清楚後果(自己和旁人）.不受傷，不流血。', '「我有一個夢」背後有「選票與子彈」支持同保護', 'https://zh.m.wikipedia.org/zh-hk/選票還是子彈']",0,0,1313667,2019,7
21,2019年7月13日 20:33:17,"['全部同我入黎！教你下一步點做', 'https://lih.kg/1313709', '- 分享自 LIHKG 討論區']",0,0,1313667,2019,7
22,2019年7月13日 20:27:56,['y not both'],0,0,1313667,2019,7
23,2019年7月13日 19:40:49,['香港保衛戰！'],0,0,1313667,2019,7
24,2019年6月24日 15:07:00,"['至於我地成日比人屌, 大家都會唔開心啦, 唔知我地可唔可以就住當日嘅活動, 事後整返 D 總結, 新聞稿, 之如此類嘅文章, 再等傳媒朋友拎來報導', '', '始終今次活動我地係冇大台, 可能做呢類型文宣工作未必太合適, 或者未必有可能做到', '', '但希望拋舊磚出來, 大家可以討論下個可行性', '', '其一, 比人屌都可以還擊下, 唔使下下都比人禁住來屌冇聲出', '', '其二, 可以比人知道我地係做緊 D 乜野, 點解要咁做', '', '其三, 可以就住港共講嘅濕鳩野作出回應', '', '咁啱見到有巴打有個道歉運動, 順手宣揚下', 'https://lihkg.com/thread/1255789/page/1', '', '以上只係本人少少嘅愚見, 未必啱晒大家口味, 純粹屈左 D 野係心到, 想係到同大家分享, 亦都希望提出少少意見, 等大家多 D 路線可以思考', '', '唔鍾意嘅手足, 都唔好意思浪費左你地嘅時間去睇', '', '我真係好愛香港, 唔想再見到香港比支那搞彎晒, 今次一家要成功守衛家園 ! 香港人加油 !']",1,0,1256037,2019,6
25,2019年6月24日 15:03:02,"['至於今日嘅事, 我冇詳細睇晒來龍去脈, 但好似有義士比市民屌, 而比人屌嘅成因我認為係今次活動, 文宣時間太少而導致', '', '好似 621 咁, 我地預先做左好多文宣工作, 所以市民心中有數, 個接受能力會大 D, 但可能臨近 G20, 變相準備時間太過急, 宣傳不足下就比人屌鳩左', '', '因為大部份港豬如果心中無數, 見你阻到自己, 當然唔理三七廿一屌撚左你先, 都係果句「唔好太擺上心」', '', '為左保衛香港, 保護自己個家, 比人屌一兩句好閒, 唔好放上心, 唔好亂同人鬥氣, 認清自己目標', '', '兄弟爬山, 各有各做, 不割蓆, 不篤灰', '', '呢個係長久戰爭, 要大家同心合力, 團結一致先可以成事']",1,0,1256037,2019,6
26,2019年6月24日 15:11:16,"['所以出得黎真係唔晒下下在意啲愚民點睇', '覺得岩既就做 明既始終都會明 藍屍賤民點都係藍屍賤民 亦唔會影響大家要行既路 加油', '係唔洗 打錯']",0,0,1256037,2019,6
27,2019年6月24日 15:10:47,"['所以出得黎真係唔晒下下在意啲愚民點睇', '覺得岩既就做 明既始終都會明 藍屍賤民點都係藍屍賤民 亦唔會影響大家要行既路 加油', '0']",0,1,1256037,2019,6
28,2019年6月24日 15:08:36,"['來緊我見 626 有 G20 請願, 唔知係咪已經有巴打整緊 D 請願信講返香港嘅情況比外國知', '', '但係而家已經係夜深, 要返工討論唔到太多', '', '本身重想討論下', '', '- G20 請願信', '- 整合返呢 22 年嘅賣港事件 (如高鐵一地兩檢, DQ 事件, 等), 同時清算一眾狗官同建制狗', '- 教導一下身邊嘅人, 民主自由係冇捷徑, 需要長時間抗爭', '', '有興趣巴絲打可以接力討論', '', '訓先']",0,0,1256037,2019,6
29,2019年6月24日 15:04:45,"['如果來緊重有接收工活動的話, 我地可能要考慮下視乎人數而變陣', '', '1. 如果人數唔係太多嘅話', '- 可以用正當途徑去排下隊, 詢問下, 睇下佢會唔會又收工', '- 門口位置又可以派下傳單, 做下文宣', '- 等待途中亦可以用下 AirDrop 分享下 D 長輩圖', '- 可以整定支持成立獨立調查小組, 支持警察無犯法驚咩比人查嘅聯署表格, 如果門口比廢老屌, 可以變陣叫佢簽名', '', '2. 人數夠嘅話', '- 做乜都得, 自由發揮']",0,0,1256037,2019,6
30,2019年4月1日 04:56:26,"['反英嗰班同反曹嗰班邊班怨婦啲', '柔里罪狀', '二十五、開V講返La Vie En Rose活動最後一次FS啲野 到個八婆講野時 佢噤停全部人 要全部人留心聽佢講嘢 好大個官威', '（詳：https://www.vlive.tv/video/99713 6:12)', '', '都唔知有幾多隊試過咁', '', '二十九、蛙蛙mail度講佢係咁叫油b唔好講鬼故，但油b仲專登講黎嚇佢', '唔評價', '是但抽兩個出黎都覺得好撚好笑', '8']",0,2,1087335,2019,4
31,2019年4月1日 04:54:27,"['反英嗰班同反曹嗰班邊班怨婦啲', '反降最怨婦', '9']",3,1,1087335,2019,4
32,2019年4月1日 04:53:04,"['反英嗰班同反曹嗰班邊班怨婦啲', '6']",0,2,1087335,2019,4
33,2019年4月1日 04:55:34,"['反英嗰班同反曹嗰班邊班怨婦啲', '反降最怨婦', '你反降大隊長', '3']",0,1,1087335,2019,4
34,2019年4月1日 04:50:44,"['係', '成班傻閪盲反牙英']",7,4,1087335,2019,4
35,2019年4月1日 07:35:02,['唔明點解英妹咁可愛都反得落 究竟班人有冇人性'],1,0,1087335,2019,4
36,2019年4月1日 07:27:34,"['抄irene梗係靚', '1']",0,1,1087335,2019,4
37,2019年4月1日 05:11:39,"['導清老死又入來撐場', '其實佢係咪有啲精神病?', '應該有少少反社會人格', '1']",0,2,1087335,2019,4
38,2019年4月1日 05:03:43,"['導清老死又入來撐場', '其實佢係咪有啲精神病?', '2']",1,2,1087335,2019,4
39,2019年4月1日 07:50:34,['淨係留意佢對波only'],0,0,1087335,2019,4
40,2019年4月1日 07:41:40,"['抄irene梗係靚', '但大波', '大波梗係靚']",0,0,1087335,2019,4
41,2019年4月1日 07:30:04,['IZ*ONE世界第一！'],0,0,1087335,2019,4
