time,text,support,against,post_id,year,month
2019年7月13日 07:28:56,['嚇撚死，我爭啲喊呀'],236,2,1312102,2019,7
2019年7月13日 07:33:02,"['好恐怖', '', '', '229']",4,7,1312102,2019,7
2019年7月13日 07:29:53,"['幫推呀', '上面有地址有電話 有電郵 老闆南亞人 但安全起見去的話都要帶口罩。 廣東道340號地下。', '', '唔好同我講驚人搞間舖 咁幫襯邊間都有可能搞 況且有乜搞佢嘅正當理由！ 咪撚做埋蝗蟲個啲自我審查。 分化撚用下腦宜家邊樣重要 仲要幾多人無保護裝備比人仆濕個頭呀']",169,4,1312102,2019,7
2019年7月13日 07:31:31,"['手足被捕上車', '班狗仲係到講：係我地救左你 如果唔係你跌死', '139']",2,2,1312102,2019,7
2019年7月13日 07:29:19,['屌 成個人出咗去'],101,0,1312102,2019,7
2019年7月13日 07:30:11,"['想殺人變救人 屌你老母', '90']",2,1,1312102,2019,7
2019年7月13日 07:32:38,"['次次都係散晒D警察先出黎搞事,', '特登唔比你地班示威遊行既人同埋當地社區舒舒服服']",70,2,1312102,2019,7
2019年7月13日 07:29:42,"['仆街黑警，日日想殺人', '', '', '只攻不守，唔打就走', '警犬重裝出擊，市民撤退無跡', '打空氣，好谷氣', '', '遊行影大頭，撕紙無得唞']",55,1,1312102,2019,7
2019年7月13日 07:31:14,"['拘捕左', '罪名：意圖被自殺']",50,3,1312102,2019,7
2019年7月13日 07:30:40,['推完人落街，仲要壓埋上警車'],37,1,1312102,2019,7
2019年7月13日 07:48:49,"['好似係佢自己跨岀去', '我拎把刀趕你', '你自己跳左落去', '咁我係咪咩事都無']",31,0,1312102,2019,7
2019年7月13日 07:33:21,['新口號: 香港警察 意圖謀'],33,2,1312102,2019,7
2019年7月13日 07:45:18,"['大家可以睇番片先', '唔係真係有推到個示威者出街', '', '', '但對我來講佢咁樣追人包炒人，個年輕人冇位走真係惟有跳落去', '唔係佢推 都係導致個細路跳啦', '剩係睇片都見到警狗喪追', '尹議員直情講由商場追到而家']",26,1,1312102,2019,7
2019年7月13日 07:36:59,"['今日再次證明班狗只要想搞你，無事發生都可以搞到你', '', '帶gear除咗保護自己，更重要喺突破裝備不如人嘅心理關口，以後無論喺見到藍屍，休班狗，龜，絕對可以用101拘捕令搞佢，無傷制服佢。狗嘅話就算突破唔到心理關口，至少都無咁傷', '', '當你裝備齊全，人數就喺最大嘅武器。', '', '', '以後任何活動搞手一定要記得呼籲全世界上裝！！！', '26']",2,3,1312102,2019,7
2019年7月13日 07:30:54,['屌你老母apple live睇撚住'],23,1,1312102,2019,7
2019年7月13日 07:36:47,[],22,1,1312102,2019,7
2019年7月13日 07:36:13,['白衫意圖謀殺'],22,1,1312102,2019,7
2021年7月19日 02:57:54,['39'],0,6,2623179,2021,7
2021年7月19日 03:09:56,['7'],0,1,2623179,2021,7
2021年7月19日 03:28:26,[],6,0,2623179,2021,7
2021年7月19日 02:49:38,"['哭能左', '6']",0,1,2623179,2021,7
