,time,text,support,against,post_id,year,month
0,2017年4月12日 21:59:55,['利益比一半朋友'],0,0,199101,2017,4
1,2023年12月22日 02:57:21,['190'],0,4,3583661,2023,12
2,2023年12月22日 03:02:00,"['似係想搶錢之前會講嘅說話', '65']",0,2,3583661,2023,12
3,2023年12月22日 02:57:46,"['全部共產?', '59']",1,1,3583661,2023,12
4,2023年12月22日 03:00:28,"['打埋開口牌', '下年留港撚睇路喇', '57']",1,1,3583661,2023,12
5,2023年12月22日 03:00:13,"['唔怪得啲人移民', '51']",1,2,3583661,2023,12
6,2023年12月22日 02:57:28,"['係咪準備收割韭菜？', '46']",2,2,3583661,2023,12
7,2023年12月22日 03:04:15,"['在國家利益、民族大義、香港整體利益面前，任何個人、企業、學校、單位或組織的利益都是「小利益」，要服從國家、民族、香港的大利益。', '29']",1,1,3583661,2023,12
8,2023年12月22日 03:00:51,"['解讀：賤民退休享受事小，國家有難救急事大，mpf攞來用下', '26']",0,1,3583661,2023,12
9,2023年12月22日 03:09:43,"['韭菜們ready？', '23']",0,2,3583661,2023,12
10,2023年12月22日 03:07:12,"['呢個咪社會主義囉，', '', '仲話自己一國兩制', '20']",0,3,3583661,2023,12
11,2023年12月22日 03:22:18,"['陶傑又話香港要同歐美議和', '人哋大陸根本無咁嘅意思', '仲越講越痴線', '', '香港班官而家同鬼佬講香港同中國唔同', '你就講咩大利益小利益', '國家面前，香港都係小利益', '隨時犧牲得', '你都係想話俾鬼佬知', '投資香港隨時會血本無歸啫', '16']",0,1,3583661,2023,12
12,2023年12月22日 03:04:54,['咁講一講又嚇走幾多資金'],14,0,3583661,2023,12
13,2023年12月22日 03:02:01,"['共產党 = 国家，民族，利益', '', '13']",0,2,3583661,2023,12
14,2023年12月22日 02:59:33,"['贊成！！！', '', '放棄個人利益', '', '共抗歐美敵對勢力']",13,2,3583661,2023,12
15,2023年12月22日 05:10:27,"['咁似會員 真天真 同志', '9']",1,1,3583661,2023,12
16,2023年12月22日 03:08:19,"['呢個咪社會主義囉，', '', '仲話自己一國兩制', '富有中國特色嘅一國兩制']",8,0,3583661,2023,12
17,2023年12月22日 03:05:36,['哩個就係社會主義既核心價值'],7,0,3583661,2023,12
18,2023年12月22日 03:02:19,['屍觀點會唔會回應下'],7,0,3583661,2023,12
19,2023年12月22日 03:05:42,"['黨國體制', '', '黨大於國', '', '去您媽的']",6,0,3583661,2023,12
20,2023年12月22日 03:53:14,"['唔怪得啲人移民', '唔怪得開始聽到人講', '早移贏層樓', '遲移贏自由', '6']",1,1,3583661,2023,12
21,2023年12月22日 03:28:05,[],5,0,3583661,2023,12
22,2023年12月22日 03:10:33,"['在國家利益、民族大義、香港整體利益面前，任何個人、企業、學校、單位或組織的利益都是「小利益」，要服從國家、民族、香港的大利益。', '然而黨的利益大於國家利益']",5,0,3583661,2023,12
23,2023年12月22日 04:13:58,['屌你老母依家真係文革咁L樣，屌你老母共產黨'],4,0,3583661,2023,12
24,2020年5月29日 23:49:05,['靜雞雞做埋啲虧心事'],0,0,2042833,2020,5
25,2020年5月29日 23:43:57,[],0,0,2042833,2020,5
26,2019年8月15日 13:26:35,"['唔好意思，借個位宣傳', '', '818百萬人大遊行', '五大訴求，缺一不可', '', '同69,616同等重要，代表場運動有民意受權', '818唔夠人數 場運動就自然死亡', '', '', '', '所以 依家開始全民投入宣傳工作', '各區連儂牆、airdrop、派街招、擺街站', 'facebook instagram瘋狂轉貼文宣', '文宣source:', 'https://t.me/hkposter777', 'https://t.me/hkstandstrong_promo']",0,0,1476266,2019,8
