"調查開始日期Survey Start Date","調查結束日期Survey End Date","樣本人數Total Sample","次樣本人數Sub Sample","回應率Response Rate","平等Equality","標準誤差Standard Error","評分人數Number of Raters","認知率Recognition Rate","備註Remark"
"2023-08-01","2023-08-10","1,005","515","54.5%","5.20","0.11","508","98.6%",""
"2023-02-01","2023-02-09","1,017","510","58.0%","5.72","0.11","493","96.6%",""
"2022-08-01","2022-08-09","1,004","494","58.6%","5.34","0.11","478","96.7%",""
"2022-02-07","2022-02-10","1,012","549","58.1%","4.31","0.11","538","98.0%",""
"2021-08-09","2021-08-12","1,002","645","49.4%","4.39","0.11","630","97.8%",""
"2021-02-02","2021-02-05","1,018","653","62.9%","5.08","0.10","611","93.6%",""
"2020-07-06","2020-07-09","1,001","633","52.4%","4.62","0.12","618","97.6%",""
"2020-04-14","2020-04-17","1,005","637","64.5%","4.87","0.11","630","98.9%",""
"2019-09-16","2019-09-19","1,061","617","69.5%","4.71","0.10","608","98.5%",""
"2019-05-06","2019-05-09","1,018","572","63.2%","5.69","0.09","561","97.9%",""
"2018-05-04","2018-05-09","1,017","1,017","59.5%","5.82","0.06","1,003","98.6%",""
"2018-01-15","2018-01-18","1,035","601","63.6%","5.87","0.09","585","97.4%",""
"2017-07-10","2017-07-13","1,030","664","53.3%","6.33","0.08","653","98.3%","*"
"2017-02-06","2017-02-09","1,029","577","70.5%","6.09","0.09","563","97.6%",""
"2016-07-18","2016-07-21","1,013","626","73.6%","5.66","0.09","603","96.4%",""
"2016-02-15","2016-02-18","1,026","644","66.8%","5.90","0.09","622","96.7%",""
"2015-07-20","2015-07-23","1,010","568","66.4%","5.84","0.09","557","97.9%",""
"2015-02-09","2015-02-12","1,019","671","69.1%","6.09","0.08","659","98.2%",""
"2014-07-21","2014-07-24","1,017","605","68.3%","6.01","0.08","587","97.1%",""
"2014-02-07","2014-02-12","1,031","571","68.0%","6.00","0.09","557","97.5%",""
"2013-07-30","2013-08-01","1,027","653","66.9%","6.07","0.08","644","98.5%",""
"2013-02-04","2013-02-14","1,023","664","65.1%","6.05","0.08","648","97.5%",""
"2012-08-07","2012-08-15","1,040","569","64.2%","6.22","0.08","554","97.5%",""
"2012-02-13","2012-02-16","1,007","565","65.8%","6.05","0.08","547","96.8%",""
"2011-08-15","2011-08-19","1,005","682","66.1%","6.24","0.07","665","97.6%",""
"2011-02-09","2011-02-17","1,035","537","65.9%","5.92","0.09","524","97.7%",""
"2010-08-10","2010-08-13","1,007","525","61.3%","5.97","0.09","514","98.0%",""
"2010-02-04","2010-02-09","1,060","503","67.3%","6.17","0.09","497","98.8%",""
"2009-08-11","2009-08-16","1,006","1,006","70.9%","6.14","0.06","998","99.3%",""
"2009-02-10","2009-02-12","1,011","1,011","67.0%","6.09","0.06","994","98.3%",""
"2008-08-11","2008-08-14","1,016","1,016","69.8%","6.29","0.06","1,000","98.4%",""
"2008-02-12","2008-02-14","1,028","1,028","70.2%","6.34","0.06","982","95.5%",""
"2007-08-20","2007-08-24","1,010","1,010","65.2%","6.30","0.06","978","96.8%",""
"2007-02-22","2007-02-26","1,014","1,014","60.2%","6.32","0.06","989","97.6%",""
"2006-08-21","2006-08-23","1,019","1,019","57.7%","6.19","0.06","997","97.8%",""
"2006-02-17","2006-02-21","1,017","1,017","60.9%","6.33","0.06","1,001","98.4%",""
"2005-10-25","2005-10-29","1,017","1,017","63.5%","6.46","0.06","984","96.7%",""
"2005-07-18","2005-07-20","1,008","1,008","62.6%","6.10","0.06","974","96.6%",""
"2005-04-18","2005-04-21","1,012","1,012","66.7%","6.47","0.05","964","95.3%",""
"2005-01-17","2005-01-19","1,022","1,022","64.8%","6.15","0.06","989","96.8%",""
"2004-10-18","2004-10-21","1,011","1,011","63.3%","6.18","0.06","975","96.4%",""
"2004-07-19","2004-07-21","1,031","1,031","63.8%","6.07","0.06","1,005","97.5%",""
"2004-04-19","2004-04-22","1,029","1,029","61.1%","6.08","0.06","986","95.8%",""
"2004-01-09","2004-01-12","1,026","1,026","64.6%","6.23","0.06","993","96.8%",""
"2003-10-19","2003-10-22","1,017","1,017","60.0%","6.25","0.06","958","94.2%",""
"2003-07-14","2003-07-16","1,073","1,073","69.2%","6.12","0.06","1,022","95.2%",""
"2003-04-16","2003-04-23","1,021","1,021","68.9%","6.35","0.06","956","93.6%",""
"2003-01-20","2003-01-23","1,049","1,049","66.2%","6.38","0.06","985","93.9%",""
"2002-10-13","2002-10-16","1,028","1,028","63.0%","6.36","0.05","949","92.3%",""
"2002-07-02","2002-07-03","1,068","1,068","67.7%","6.36","0.06","952","89.1%",""
"2002-04-02","2002-04-08","1,017","1,017","63.5%","6.34","0.06","901","88.6%",""
"2002-01-02","2002-01-06","1,046","1,046","65.6%","6.10","0.06","967","92.4%",""
"2001-10-05","2001-10-08","1,051","1,051","63.5%","6.08","0.06","959","91.2%",""
"2001-07-03","2001-07-09","1,051","1,051","78.6%","6.19","0.06","970","92.3%",""
"2001-04-18","2001-04-30","1,082","1,082","73.1%","6.09","0.05","1,010","93.3%",""
"2001-01-17","2001-01-19","1,046","1,046","53.7%","6.08","0.06","971","92.8%",""
"2000-10-03","2000-10-09","1,067","1,067","59.8%","5.94","0.06","949","88.9%",""
"2000-07-06","2000-07-10","1,058","1,058","53.3%","5.93","0.06","976","92.2%",""
"2000-05-05","2000-05-18","1,060","1,060","50.0%","6.30","0.05","1,025","96.7%",""
"2000-03-01","2000-03-01","517","517","57.6%","6.27","0.08","494","95.6%",""
"2000-01-11","2000-01-12","519","519","53.6%","6.24","0.08","496","95.6%",""
"2000-01-04","2000-01-04","535","535","54.2%","6.10","0.08","515","96.3%",""
"1999-11-01","1999-11-02","543","543","51.7%","6.11","0.08","518","95.4%",""
"1999-09-10","1999-09-13","576","576","45.2%","5.98","0.08","556","96.5%",""
"1999-07-05","1999-07-05","527","527","48.2%","6.07","0.09","512","97.2%",""
"1999-05-04","1999-05-04","536","536","49.5%","6.28","0.08","519","96.8%",""
"1999-03-02","1999-03-02","510","510","52.5%","6.44","0.08","488","95.7%",""
"1999-01-05","1999-01-05","544","544","46.0%","6.23","0.08","525","96.5%",""
"1998-11-04","1998-11-05","511","511","48.1%","6.30","0.07","499","97.7%",""
"1998-09-01","1998-09-01","507","507","45.5%","6.26","0.07","494","97.4%",""
"1998-07-07","1998-07-07","532","532","48.1%","6.51","0.07","507","95.3%",""
"1998-05-05","1998-05-05","542","542","47.9%","6.12","0.08","505","93.2%",""
"1998-03-02","1998-03-02","527","527","46.1%","6.32","0.07","500","94.9%",""
"1998-01-06","1998-01-06","520","520","47.9%","6.31","0.07","497","95.6%",""
"1997-11-04","1997-11-05","523","523","47.3%","6.24","0.07","488","93.3%",""
"1997-07-29","1997-07-30","564","564","39.7%","6.30","0.07","542","96.1%",""
"1997-06-25","1997-06-25","548","548","46.7%","6.52","0.07","517","94.3%",""
