"調查開始日期Survey Start Date","調查結束日期Survey End Date","樣本人數Total Sample","次樣本人數Sub Sample","回應率Response Rate","公平Fairness","標準誤差Standard Error","評分人數Number of Raters","認知率Recognition Rate","備註Remark"
"2023-08-01","2023-08-10","1,005","523","54.5%","4.93","0.11","515","98.6%",""
"2023-02-01","2023-02-09","1,017","506","58.0%","5.40","0.11","495","97.8%",""
"2022-08-01","2022-08-09","1,004","495","58.6%","5.05","0.12","488","98.5%",""
"2022-02-07","2022-02-10","1,012","550","58.1%","4.31","0.11","545","99.1%",""
"2021-08-09","2021-08-12","1,002","642","49.4%","4.32","0.11","628","97.8%",""
"2021-02-02","2021-02-05","1,018","643","62.9%","4.23","0.11","625","97.1%",""
"2020-07-06","2020-07-09","1,001","666","52.4%","4.15","0.12","650","97.6%",""
"2020-04-14","2020-04-17","1,005","643","64.5%","4.58","0.11","628","97.7%","$"
"2019-09-16","2019-09-19","1,061","607","69.5%","4.20","0.11","596","98.1%",""
"2019-05-06","2019-05-09","1,018","589","63.2%","5.47","0.09","580","98.4%",""
"2018-05-04","2018-05-09","1,017","1,017","59.5%","5.77","0.07","1,010","99.4%",""
"2018-01-15","2018-01-18","1,035","587","63.6%","5.47","0.09","572","97.5%",""
"2017-07-10","2017-07-13","1,030","579","53.3%","5.96","0.09","570","98.4%","*"
"2017-02-06","2017-02-09","1,029","629","70.5%","5.66","0.09","619","98.4%",""
"2016-07-18","2016-07-21","1,013","577","73.6%","5.58","0.09","571","99.0%",""
"2016-02-15","2016-02-18","1,026","608","66.8%","5.53","0.10","591","97.2%",""
"2015-07-20","2015-07-23","1,010","596","66.4%","5.45","0.08","585","98.0%",""
"2015-02-09","2015-02-12","1,019","598","69.1%","5.67","0.09","590","98.7%",""
"2014-07-21","2014-07-24","1,017","666","68.3%","5.71","0.08","654","98.1%",""
"2014-02-07","2014-02-12","1,031","569","68.0%","5.72","0.09","562","98.8%",""
"2013-07-30","2013-08-01","1,027","612","66.9%","5.76","0.08","607","99.2%",""
