"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好有好感Very positive","幾好感Quite positive","好感 Positive","一半半Half-half","幾反感Quite negative","好反感Very negative","反感 Negative","唔知/難講DK/HS","總數Total","淨值Net value","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2023-01-09","2023-01-18","1,000","512","52.0%","21.6%","24.0%","45.6%","22.2%","11.8%","16.3%","28.1%","4.1%","100.0%","17.5%","3.2","485","0.1",""
"2022-07-04","2022-07-07","1,003","509","50.1%","23.4%","28.5%","51.9%","13.5%","11.5%","17.4%","29.0%","5.6%","100.0%","22.9%","3.3","478","0.1",""
"2022-01-17","2022-01-20","1,001","564","48.4%","17.4%","21.9%","39.3%","22.3%","9.6%","23.6%","33.2%","5.2%","100.0%","6.1%","3.0","525","0.1",""
"2021-07-19","2021-07-22","1,000","671","48.5%","15.9%","21.6%","37.4%","19.6%","12.3%","26.8%","39.2%","3.9%","100.0%","-1.8%","2.9","635","0.1",""
"2021-01-18","2021-01-22","1,011","832","67.2%","13.0%","19.7%","32.7%","22.3%","14.3%","26.9%","41.3%","3.7%","100.0%","-8.5%","2.8","787","0.1",""
"2020-08-17","2020-08-20","1,020","661","60.9%","13.9%","12.6%","26.5%","17.2%","14.6%","37.7%","52.3%","4.0%","100.0%","-25.7%","2.5","625","0.1",""
"2020-01-20","2020-01-21","505","505","71.2%","4.5%","18.1%","22.6%","15.9%","14.6%","44.4%","58.9%","2.5%","100.0%","-36.3%","2.2","490","0.1",""
"2019-07-17","2019-07-19","1,002","592","59.8%","8.3%","16.7%","25.0%","20.1%","21.8%","29.3%","51.1%","3.8%","100.0%","-26.1%","2.5","564","0.1",""
"2018-07-18","2018-07-19","502","502","47.4%","7.1%","24.2%","31.3%","27.5%","20.5%","18.4%","38.8%","2.3%","100.0%","-7.5%","2.8","489","0.1",""
"2017-08-16","2017-08-21","1,028","777","47.7%","6.9%","24.9%","31.8%","28.7%","16.2%","18.9%","35.1%","4.4%","100.0%","-3.2%","2.8","743","0.1","*"
"2017-05-15","2017-05-18","1,000","586","71.5%","7.6%","22.2%","29.7%","30.9%","21.5%","15.7%","37.3%","2.1%","100.0%","-7.5%","2.8","573","0.1",""
"2016-11-14","2016-11-17","1,007","542","70.9%","5.7%","22.7%","28.4%","34.3%","19.2%","14.8%","34.1%","3.2%","100.0%","-5.7%","2.8","522","0.1",""
"2016-05-16","2016-05-19","1,001","639","67.6%","4.7%","19.6%","24.3%","31.3%","24.3%","17.4%","41.6%","2.7%","100.0%","-17.3%","2.7","619","0.1",""
