"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2023-12-01","2023-12-07","502","502","48.7%","17.2%","29.4%","46.6%","9.4%","11.2%","26.6%","37.8%","6.3%","100.0%","8.8%","3.0","462","0.1",""
"2023-04-04","2023-04-12","1,005","509","59.4%","14.6%","29.3%","43.9%","11.4%","10.6%","28.3%","38.9%","5.8%","100.0%","5.0%","2.9","479","0.1",""
"2022-10-10","2022-10-19","1,093","499","61.5%","13.3%","26.5%","39.7%","18.9%","14.0%","21.9%","35.9%","5.4%","100.0%","3.8%","2.9","468","0.1",""
"2022-04-19","2022-04-22","1,001","614","47.6%","9.5%","23.0%","32.5%","16.1%","14.1%","30.6%","44.8%","6.7%","100.0%","-12.3%","2.6","569","0.1",""
"2021-11-15","2021-11-18","1,004","593","53.7%","14.0%","23.3%","37.3%","10.9%","9.3%","36.7%","46.0%","5.7%","100.0%","-8.7%","2.7","552","0.1",""
"2021-04-19","2021-04-22","1,004","593","54.5%","9.8%","19.1%","28.9%","12.8%","13.2%","41.1%","54.3%","4.0%","100.0%","-25.4%","2.4","569","0.1",""
"2020-11-23","2020-11-26","1,085","519","74.6%","11.8%","18.7%","30.5%","11.2%","7.8%","44.2%","52.0%","6.3%","100.0%","-21.5%","2.4","481","0.1",""
"2020-04-14","2020-04-17","1,005","601","64.5%","9.9%","14.6%","24.5%","9.6%","13.0%","50.0%","63.1%","2.9%","100.0%","-38.6%","2.2","582","0.1",""
"2019-10-24","2019-10-28","519","519","68.3%","8.7%","13.4%","22.1%","6.1%","11.8%","55.7%","67.5%","4.3%","100.0%","-45.4%","2.0","495","0.1",""
"2018-12-17","2018-12-20","1,000","521","60.6%","7.2%","28.1%","35.3%","15.1%","16.2%","29.7%","45.9%","3.8%","100.0%","-10.6%","2.7","497","0.1","@"
"2018-06-14","2018-06-21","1,000","642","59.6%","6.9%","29.3%","36.2%","10.8%","22.2%","26.5%","48.7%","4.3%","100.0%","-12.5%","2.7","610","0.1",""
"2017-12-18","2017-12-19","1,013","617","64.9%","7.2%","28.9%","36.1%","16.3%","18.3%","25.6%","43.9%","3.6%","100.0%","-7.8%","2.7","588","0.1",""
"2017-06-19","2017-06-22","1,007","562","71.2%","8.0%","28.0%","36.0%","16.6%","19.4%","23.5%","42.9%","4.5%","100.0%","-6.9%","2.8","536","0.1",""
"2017-03-16","2017-03-20","1,070","591","72.2%","5.8%","26.0%","31.7%","16.1%","25.1%","24.9%","50.0%","2.2%","100.0%","-18.3%","2.6","577","0.1",""
"2016-12-19","2016-12-22","1,009","596","70.9%","6.5%","26.0%","32.5%","15.2%","21.5%","25.4%","46.9%","5.4%","100.0%","-14.4%","2.6","561","0.1",""
"2016-09-19","2016-09-22","1,012","599","72.4%","6.6%","24.5%","31.2%","15.6%","19.6%","29.3%","48.9%","4.3%","100.0%","-17.7%","2.6","573","0.1",""
"2016-06-20","2016-06-23","1,006","564","69.5%","3.6%","19.0%","22.6%","18.7%","20.8%","32.7%","53.4%","5.3%","100.0%","-30.8%","2.4","534","0.1",""
"2016-03-17","2016-03-22","1,000","549","68.1%","7.4%","23.9%","31.4%","17.1%","18.0%","29.7%","47.8%","3.7%","100.0%","-16.4%","2.6","528","0.1",""
"2015-12-16","2015-12-21","1,012","711","66.6%","4.9%","26.8%","31.7%","16.7%","21.4%","25.5%","47.0%","4.6%","100.0%","-15.3%","2.6","678","0.1",""
"2015-09-16","2015-09-22","1,018","560","64.0%","7.1%","22.7%","29.8%","19.7%","20.1%","26.9%","47.0%","3.5%","100.0%","-17.2%","2.6","541","0.1",""
"2015-06-22","2015-06-25","1,038","752","67.4%","9.2%","23.5%","32.7%","21.7%","18.6%","22.4%","41.0%","4.5%","100.0%","-8.3%","2.8","715","0.1",""
"2015-03-16","2015-03-19","1,010","584","69.1%","7.5%","23.2%","30.7%","18.6%","16.8%","29.7%","46.5%","4.1%","100.0%","-15.8%","2.6","559","0.1",""
"2014-12-17","2014-12-22","1,021","626","68.0%","7.9%","26.3%","34.2%","18.5%","20.4%","23.5%","43.9%","3.4%","100.0%","-9.7%","2.7","604","0.1",""
"2014-09-17","2014-09-22","1,006","635","63.9%","5.7%","23.5%","29.3%","21.6%","20.6%","23.9%","44.5%","4.6%","100.0%","-15.3%","2.6","602","0.1",""
"2014-06-16","2014-06-19","1,018","713","68.4%","7.1%","24.7%","31.9%","13.9%","23.5%","26.2%","49.7%","4.5%","100.0%","-17.9%","2.6","678","0.1",""
"2014-03-24","2014-03-27","1,030","555","68.7%","4.2%","24.9%","29.1%","19.3%","24.1%","22.7%","46.9%","4.7%","100.0%","-17.8%","2.6","528","0.1",""
"2013-12-16","2013-12-19","1,018","590","68.6%","4.6%","24.6%","29.3%","18.4%","28.4%","20.6%","49.0%","3.3%","100.0%","-19.8%","2.6","571","0.1",""
"2013-09-23","2013-09-26","1,013","566","63.8%","5.9%","31.1%","36.9%","21.8%","20.0%","15.3%","35.3%","5.9%","100.0%","1.6%","2.9","530","0.1",""
"2013-06-13","2013-06-19","1,040","688","68.0%","5.1%","25.6%","30.7%","23.2%","23.4%","19.4%","42.8%","3.3%","100.0%","-12.0%","2.7","663","0.1",""
"2013-03-21","2013-03-27","1,003","681","67.1%","3.0%","24.6%","27.6%","24.4%","24.6%","18.5%","43.1%","4.9%","100.0%","-15.4%","2.7","646","0.1",""
"2012-12-18","2012-12-28","1,013","638","65.7%","5.0%","29.6%","34.6%","22.3%","21.4%","14.4%","35.8%","7.3%","100.0%","-1.2%","2.9","590","0.1",""
"2012-09-18","2012-09-27","1,037","618","67.8%","3.7%","25.4%","29.1%","22.4%","25.5%","18.3%","43.8%","4.7%","100.0%","-14.8%","2.7","588","0.1",""
"2012-06-19","2012-06-25","1,048","513","69.6%","3.8%","31.5%","35.3%","23.9%","22.1%","15.1%","37.2%","3.6%","100.0%","-1.9%","2.9","495","0.1",""
"2012-03-16","2012-03-21","1,020","552","62.8%","5.0%","36.4%","41.4%","22.8%","23.1%","10.2%","33.3%","2.5%","100.0%","8.1%","3.0","538","0.1",""
"2011-12-14","2011-12-28","1,035","506","65.9%","3.2%","28.7%","31.8%","24.3%","30.4%","11.0%","41.4%","2.6%","100.0%","-9.5%","2.8","491","0.1",""
"2011-09-13","2011-09-20","1,001","514","65.5%","4.5%","22.3%","26.7%","26.1%","25.4%","17.9%","43.3%","3.9%","100.0%","-16.6%","2.7","494","0.1",""
"2011-06-23","2011-06-29","1,036","555","68.7%","3.1%","28.4%","31.5%","26.3%","22.2%","16.9%","39.2%","3.1%","100.0%","-7.7%","2.8","538","0.1",""
