"調查開始日期Survey Start Date","調查結束日期Survey End Date","成功樣本Successful cases","次樣本人數Subsample","回應率Response rate","好滿意Very satisfied","幾滿意Quite satisfied","滿意Satisfied","一半半Half-half","幾唔滿意Quite dissatisfied","好唔滿意Very dissatisfied","唔滿意Dissatisfied","唔知/難講DK/HS","總數Total","淨值Netvalue","平均量值Mean value","基數Base","樣本平均標準誤差Standard Error of Mean","備注Remark"
"2023-12-01","2023-12-07","502","502","48.7%","9.8%","31.0%","40.9%","11.5%","9.9%","30.7%","40.6%","7.0%","100.0%","0.2%","2.8","462","0.1",""
"2023-04-04","2023-04-12","1,005","515","59.4%","10.1%","21.7%","31.8%","15.1%","14.0%","31.4%","45.5%","7.5%","100.0%","-13.6%","2.6","467","0.1",""
"2022-10-10","2022-10-19","1,093","511","61.5%","8.6%","22.6%","31.1%","22.5%","12.5%","24.7%","37.3%","9.1%","100.0%","-6.1%","2.8","455","0.1",""
"2022-04-19","2022-04-22","1,001","600","47.6%","6.8%","16.9%","23.7%","14.3%","15.0%","34.8%","49.8%","12.2%","100.0%","-26.1%","2.4","515","0.1",""
"2021-11-15","2021-11-18","1,004","596","53.7%","7.5%","18.3%","25.8%","11.0%","13.8%","41.5%","55.3%","8.0%","100.0%","-29.5%","2.3","543","0.1",""
"2021-04-19","2021-04-22","1,004","627","54.5%","6.9%","13.7%","20.5%","11.6%","13.5%","45.1%","58.6%","9.3%","100.0%","-38.0%","2.2","567","0.1",""
"2020-11-23","2020-11-26","1,085","527","74.6%","7.0%","13.5%","20.5%","11.8%","11.5%","48.3%","59.9%","7.8%","100.0%","-39.3%","2.1","480","0.1",""
"2020-04-14","2020-04-17","1,005","567","64.5%","6.1%","14.5%","20.5%","10.7%","12.8%","51.2%","64.0%","4.8%","100.0%","-43.4%","2.1","535","0.1",""
"2019-10-24","2019-10-28","519","519","68.3%","5.2%","10.0%","15.2%","7.4%","14.7%","55.0%","69.7%","7.7%","100.0%","-54.6%","1.9","477","0.1",""
"2018-12-17","2018-12-20","1,000","512","60.6%","5.3%","28.6%","33.9%","12.8%","21.4%","28.4%","49.8%","3.5%","100.0%","-15.9%","2.6","488","0.1","@"
"2018-06-14","2018-06-21","1,000","639","59.6%","4.9%","24.2%","29.1%","10.0%","23.0%","31.7%","54.7%","6.2%","100.0%","-25.6%","2.4","597","0.1",""
"2017-12-18","2017-12-19","1,013","569","64.9%","6.2%","24.0%","30.3%","14.3%","19.6%","29.1%","48.7%","6.7%","100.0%","-18.5%","2.6","530","0.1",""
"2017-06-19","2017-06-22","1,007","585","71.2%","5.5%","19.3%","24.8%","15.9%","23.9%","28.2%","52.2%","7.1%","100.0%","-27.4%","2.5","542","0.1",""
"2017-03-16","2017-03-20","1,070","571","72.2%","5.7%","18.7%","24.4%","14.3%","23.5%","34.0%","57.5%","3.9%","100.0%","-33.1%","2.4","549","0.1",""
"2016-12-19","2016-12-22","1,009","631","70.9%","4.4%","19.4%","23.8%","19.5%","27.1%","23.7%","50.8%","5.9%","100.0%","-26.9%","2.5","594","0.1",""
"2016-09-19","2016-09-22","1,012","607","72.4%","3.0%","17.8%","20.8%","17.3%","22.9%","32.6%","55.5%","6.5%","100.0%","-34.7%","2.3","568","0.1",""
"2016-06-20","2016-06-23","1,006","600","69.5%","3.9%","15.9%","19.8%","19.7%","20.2%","32.3%","52.5%","8.0%","100.0%","-32.8%","2.3","550","0.1",""
"2016-03-17","2016-03-22","1,000","593","68.1%","4.4%","21.0%","25.4%","16.0%","23.3%","30.1%","53.4%","5.3%","100.0%","-28.0%","2.4","561","0.1",""
"2015-12-16","2015-12-21","1,012","696","66.6%","4.7%","20.0%","24.6%","18.7%","22.3%","28.4%","50.7%","6.0%","100.0%","-26.0%","2.5","653","0.1",""
"2015-09-16","2015-09-22","1,018","648","64.0%","3.8%","16.5%","20.4%","20.4%","23.6%","29.2%","52.8%","6.5%","100.0%","-32.4%","2.4","605","0.1",""
"2015-06-22","2015-06-25","1,038","654","67.4%","6.1%","19.6%","25.6%","21.2%","20.6%","26.8%","47.4%","5.8%","100.0%","-21.8%","2.5","616","0.1",""
"2015-03-16","2015-03-19","1,010","534","69.1%","6.4%","17.9%","24.3%","19.1%","21.5%","30.2%","51.6%","5.0%","100.0%","-27.4%","2.5","507","0.1",""
"2014-12-17","2014-12-22","1,021","622","68.0%","6.5%","20.1%","26.5%","18.0%","25.2%","26.8%","52.0%","3.5%","100.0%","-25.5%","2.5","600","0.1",""
"2014-09-17","2014-09-22","1,006","618","63.9%","3.3%","24.1%","27.4%","16.2%","21.8%","27.6%","49.4%","6.9%","100.0%","-22.0%","2.5","570","0.1",""
"2014-06-16","2014-06-19","1,018","661","68.4%","5.5%","17.9%","23.4%","16.5%","25.8%","26.5%","52.3%","7.8%","100.0%","-28.9%","2.5","608","0.1",""
"2014-03-24","2014-03-27","1,030","582","68.7%","2.6%","21.0%","23.7%","20.6%","27.0%","23.2%","50.2%","5.6%","100.0%","-26.5%","2.5","549","0.1",""
"2013-12-16","2013-12-19","1,018","555","68.6%","2.8%","22.1%","24.9%","18.0%","28.6%","23.6%","52.2%","4.9%","100.0%","-27.2%","2.5","526","0.1",""
"2013-09-23","2013-09-26","1,013","575","63.8%","3.1%","24.8%","27.9%","17.1%","27.2%","20.4%","47.6%","7.4%","100.0%","-19.8%","2.6","532","0.1",""
"2013-06-13","2013-06-19","1,040","674","68.0%","2.2%","23.0%","25.2%","19.5%","23.4%","26.3%","49.7%","5.6%","100.0%","-24.5%","2.5","634","0.1",""
"2013-03-21","2013-03-27","1,003","644","67.1%","2.7%","19.3%","22.0%","21.5%","28.8%","21.7%","50.5%","6.0%","100.0%","-28.5%","2.5","604","0.1",""
"2012-12-18","2012-12-28","1,013","646","65.7%","1.9%","19.2%","21.1%","25.1%","25.7%","19.7%","45.4%","8.4%","100.0%","-24.3%","2.5","587","0.1",""
"2012-09-18","2012-09-27","1,037","578","67.8%","2.8%","19.2%","21.9%","18.2%","27.6%","25.3%","52.9%","6.9%","100.0%","-31.0%","2.4","536","0.1",""
"2012-06-19","2012-06-25","1,048","524","69.6%","2.3%","23.8%","26.1%","22.1%","25.8%","21.5%","47.3%","4.5%","100.0%","-21.1%","2.6","499","0.1",""
"2012-03-16","2012-03-21","1,020","681","62.8%","2.3%","22.3%","24.6%","22.8%","30.7%","18.2%","48.9%","3.8%","100.0%","-24.3%","2.6","656","0.1",""
"2011-12-14","2011-12-28","1,035","517","65.9%","3.3%","22.2%","25.5%","18.7%","32.3%","17.9%","50.2%","5.5%","100.0%","-24.7%","2.6","486","0.1",""
"2011-09-13","2011-09-20","1,001","607","65.5%","2.9%","19.4%","22.3%","21.8%","30.0%","19.5%","49.5%","6.4%","100.0%","-27.2%","2.5","568","0.1",""
"2011-06-23","2011-06-29","1,036","626","68.7%","2.2%","23.0%","25.2%","23.0%","25.5%","21.8%","47.3%","4.5%","100.0%","-22.2%","2.6","596","0.1",""
"2011-03-21","2011-03-30","1,006","606","63.1%","2.2%","25.1%","27.3%","27.9%","28.4%","13.8%","42.3%","2.6%","100.0%","-15.0%","2.7","589","0.1",""
"2010-12-17","2010-12-22","1,017","1,017","66.4%","2.4%","27.4%","29.9%","23.9%","26.7%","13.7%","40.4%","5.8%","100.0%","-10.5%","2.8","954","0.1",""
"2010-09-18","2010-09-24","1,010","1,010","66.2%","4.0%","29.6%","33.6%","30.2%","23.4%","10.0%","33.4%","2.8%","100.0%","0.1%","2.9","979","0.1",""
"2010-06-18","2010-06-22","1,009","1,009","66.7%","5.2%","27.2%","32.5%","16.9%","24.3%","21.0%","45.3%","5.4%","100.0%","-12.9%","2.7","951","0.1",""
"2010-03-23","2010-03-25","1,012","1,012","69.3%","4.8%","24.4%","29.2%","23.1%","26.2%","17.1%","43.2%","4.4%","100.0%","-14.0%","2.7","963","0.1",""
"2009-12-14","2009-12-17","1,000","1,000","70.5%","4.3%","27.6%","31.8%","21.9%","26.7%","15.3%","41.9%","4.3%","100.0%","-10.1%","2.8","957","0.1",""
"2009-09-14","2009-09-17","1,004","1,004","65.4%","3.3%","25.0%","28.3%","26.2%","23.6%","17.6%","41.2%","4.2%","100.0%","-12.9%","2.7","959","0.1",""
"2009-06-16","2009-06-21","1,012","1,012","69.0%","4.0%","24.0%","28.0%","29.2%","24.7%","13.4%","38.1%","4.7%","100.0%","-10.1%","2.8","962","0.1",""
"2009-03-09","2009-03-11","1,019","1,019","65.2%","3.0%","28.9%","31.9%","28.3%","23.8%","12.0%","35.8%","4.0%","100.0%","-3.9%","2.9","977","0.1",""
"2008-12-16","2008-12-18","1,005","1,005","71.7%","2.9%","28.0%","30.8%","29.9%","20.7%","11.3%","31.9%","7.4%","100.0%","-1.1%","2.9","930","0.1",""
"2008-09-17","2008-09-19","1,003","1,003","63.6%","4.5%","25.4%","29.9%","28.8%","24.1%","10.7%","34.7%","6.5%","100.0%","-4.8%","2.9","934","0.1",""
"2008-06-18","2008-06-20","1,003","1,003","70.3%","4.3%","27.2%","31.5%","29.5%","22.4%","10.1%","32.5%","6.5%","100.0%","-1.0%","2.9","937","0.1",""
"2008-03-18","2008-03-20","1,026","1,026","65.7%","5.8%","30.8%","36.5%","31.0%","20.3%","8.1%","28.4%","4.1%","100.0%","8.1%","3.1","982","0.1",""
"2007-12-19","2007-12-24","1,019","1,019","66.2%","5.7%","27.8%","33.5%","27.7%","21.8%","10.2%","32.0%","6.8%","100.0%","1.5%","3.0","946","0.1",""
"2007-09-17","2007-09-21","1,008","1,008","65.5%","4.2%","31.8%","36.0%","27.3%","24.1%","7.5%","31.6%","5.2%","100.0%","4.4%","3.0","955","0.1",""
"2007-06-15","2007-06-21","1,006","1,006","65.2%","4.1%","30.3%","34.4%","28.4%","22.3%","9.5%","31.8%","5.4%","100.0%","2.6%","3.0","947","0.1",""
"2007-03-19","2007-03-21","1,007","1,007","63.6%","4.9%","31.6%","36.5%","31.1%","19.4%","8.3%","27.7%","4.6%","100.0%","8.8%","3.1","957","0.1",""
"2006-12-18","2006-12-20","1,016","1,016","64.1%","2.8%","25.5%","28.3%","32.9%","24.6%","10.7%","35.3%","3.5%","100.0%","-6.9%","2.8","979","0.1",""
"2006-09-14","2006-09-20","1,013","1,013","58.4%","3.8%","31.2%","35.0%","30.1%","20.9%","9.5%","30.4%","4.5%","100.0%","4.6%","3.0","968","0.1",""
"2006-06-19","2006-06-21","1,012","1,012","58.2%","5.1%","29.6%","34.6%","31.1%","22.0%","7.4%","29.4%","4.9%","100.0%","5.2%","3.0","961","0.1",""
"2006-03-13","2006-03-17","1,010","1,010","59.4%","5.6%","34.7%","40.3%","28.2%","18.9%","6.6%","25.5%","6.1%","100.0%","14.8%","3.1","947","0.1",""
"2005-11-18","2005-11-23","1,019","1,019","62.9%","3.8%","31.6%","35.4%","29.0%","20.9%","8.8%","29.6%","6.0%","100.0%","5.7%","3.0","957","0.1",""
"2005-10-25","2005-10-29","1,017","1,017","63.5%","5.0%","37.2%","42.2%","29.8%","16.3%","5.5%","21.8%","6.3%","100.0%","20.4%","3.2","947","0.1",""
"2005-07-25","2005-07-29","1,014","1,014","64.0%","4.5%","28.0%","32.5%","30.1%","22.0%","6.7%","28.7%","8.8%","100.0%","3.8%","3.0","921","0.1",""
"2005-04-18","2005-04-21","1,012","1,012","66.7%","3.8%","28.7%","32.5%","27.0%","26.6%","7.6%","34.2%","6.2%","100.0%","-1.7%","2.9","947","0.1",""
"2005-01-24","2005-01-25","1,003","1,003","65.0%","3.8%","19.0%","22.8%","24.4%","28.1%","17.1%","45.2%","7.7%","100.0%","-22.4%","2.6","919","0.1",""
"2004-10-18","2004-10-21","1,011","1,011","63.3%","3.8%","24.0%","27.8%","25.3%","28.0%","12.3%","40.3%","6.7%","100.0%","-12.5%","2.8","938","0.1",""
