"任內第X個月Xth Month of Service","時間(彭定康)Time (Chris Patten)","彭定康評分Chris Patten's Ratings","時間(董建華)Time (Tung Chee-hwa)","董建華評分Tung Chee-hwa's Ratings","時間(曾蔭權)Time (Donald Tsang)","曾蔭權評分Donald Tsang's Ratings","時間(梁振英)Time (Leung Chun-ying)","梁振英評分Leung Chun-ying's Ratings","時間(林鄭月娥)Time (Carrie Lam's Rating)","林鄭月娥評分Carrie Lam's Ratings","時間(李家超)Time (John Lee's Rating)","李家超評分John Lee's Ratings"
"1","4/1992","53.3","7/1997","64.5","6/2005","72.3","7/2012","52.5","7/2017","61.0","7/2022","53.8"
"2","5/1992","56.1","8/1997","65.7","7/2005","70.2","8/2012","50.3","8/2017","59.6","8/2022","54.9"
"3","6/1992","58.2","9/1997","67.7","8/2005","66.1","9/2012","46.3","9/2017","58.6","9/2022","53.5"
"4","7/1992","60.7","10/1997","64.9","9/2005","68.1","10/2012","49.2","10/2017","60.9","10/2022","54.2"
"5","8/1992","63.1","11/1997","63.4","10/2005","67.9","11/2012","52.6","11/2017","60.9","11/2022","53.0"
"6","9/1992","63.6","12/1997","62.8","11/2005","67.3","12/2012","49.2","12/2017","57.0","12/2022","52.4"
"7","10/1992","64.1","1/1998","59.5","12/2005","64.9","1/2013","49.7","1/2018","56.5","1/2023","57.0"
"8","11/1992","61.6","2/1998","59.3","1/2006","67.3","2/2013","47.6","2/2018","54.7","2/2023","59.2"
"9","12/1992","55.7","3/1998","61.6","2/2006","66.5","3/2013","50.7","3/2018","56.5","3/2023","54.3"
"10","1/1993","58.0","4/1998","60.4","3/2006","67.7","4/2013","50.2","4/2018","54.8","4/2023","54.3"
"11","2/1993","57.3","5/1998","58.6","4/2006","68.6","5/2013","47.9","5/2018","55.3","5/2023","56.9"
"12","3/1993","58.0","6/1998","56.0","5/2006","67.2","6/2013","46.5","6/2018","54.3","6/2023","51.5"
"13","4/1993","56.2","7/1998","56.1","6/2006","67.2","7/2013","45.8","7/2018","55.9","7/2023","49.7"
"14","5/1993","58.2","8/1998","54.5","7/2006","65.6","8/2013","44.7","8/2018","55.3","8/2023","50.7"
"15","6/1993","58.6","9/1998","58.7","8/2006","65.7","9/2013","47.5","9/2018","54.0","9/2023","52.6"
